coarse-grained,fine-grained
1,eating food with a fork
1,pouring water into a cup
1,taking medicine
1,drinking water
3,putting food in the fridge/taking food from the fridge
1,trimming vegetables
1,peeling fruit
3,using a gas stove
1,cutting vegetables on the cutting board
0,brushing teeth
0,washing hands
0,washing face
0,wiping face with a towel
6,putting on cosmetics
6,putting on lipstick
6,brushing hair
2,blow-drying hair
2,putting on a jacket
2,taking off a jacket
2,putting on/taking off shoes
1,putting on/taking off glasses
3,washing the dishes
2,vacuuming the floor
7,scrubbing the floor with a rag
1,wiping off the dining table
3,rubbing furniture
2,spreading bedding/folding bedding
0,washing a towel by hand
2,hanging out laundry
3,looking around for something
4,using a remote control
1,reading a book
1,reading a newspaper
1,handwriting
2,talking on the phone
2,playing with a mobile phone
1,using a computer
0,smoking
1,clapping
1,rubbing face with hands
2,doing freehand exercises
2,doing neck roll exercises
3,massaging a shoulder oneself
2,taking a bow
1,talking to each other
2,handshaking
2,hugging each other
1,fighting each other
3,waving a hand
3,flapping a hand up and down (beckoning)
2,pointing with a finger
2,opening the door and walking in
7,falling on the floor
2,sitting up/standing up
2,lying down
