coarse-grained,fine-grained
6,eating food with a fork
2,pouring water into a cup
6,taking medicine
6,drinking water
2,putting food in the fridge/taking food from the fridge
6,trimming vegetables
6,peeling fruit
2,using a gas stove
2,cutting vegetables on the cutting board
3,brushing teeth
2,washing hands
0,washing face
3,wiping face with a towel
5,putting on cosmetics
5,putting on lipstick
5,brushing hair
9,blow-drying hair
9,putting on a jacket
9,taking off a jacket
9,putting on/taking off shoes
6,putting on/taking off glasses
2,washing the dishes
4,vacuuming the floor
10,scrubbing the floor with a rag
6,wiping off the dining table
2,rubbing furniture
9,spreading bedding/folding bedding
0,washing a towel by hand
9,hanging out laundry
2,looking around for something
1,using a remote control
6,reading a book
6,reading a newspaper
6,handwriting
9,talking on the phone
9,playing with a mobile phone
6,using a computer
3,smoking
6,clapping
6,rubbing face with hands
9,doing freehand exercises
9,doing neck roll exercises
2,massaging a shoulder oneself
9,taking a bow
6,talking to each other
9,handshaking
9,hugging each other
6,fighting each other
2,waving a hand
2,flapping a hand up and down (beckoning)
9,pointing with a finger
9,opening the door and walking in
8,falling on the floor
9,sitting up/standing up
9,lying down
