coarse-grained,fine-grained
kitchen,eating food with a fork
kitchen,pouring water into a cup
kitchen,putting food in the fridge/taking food from the fridge
kitchen,trimming vegetables
kitchen,peeling fruit
kitchen,using a gas stove
kitchen,cutting vegetables on the cutting board
kitchen,washing the dishes
living room,vacuuming the floor
living room,scrubbing the floor with a rag
living room,wiping off the dining table
living room,rubbing furniture
living room,using a remote control
living room,reading a newspaper
living room,handwriting
living room,talking on the phone
living room,playing with a mobile phone
living room,using a computer
living room,smoking
living room,clapping
living room,rubbing face with hands
living room,doing freehand exercises
living room,doing neck roll exercises
living room,massaging a shoulder oneself
living room,taking a bow
living room,talking to each other
living room,handshaking
living room,hugging each other
living room,fighting each other
living room,waving a hand
living room,flapping a hand up and down (beckoning)
living room,pointing with a finger
living room,hanging out laundry
bedroom,spreading bedding/folding bedding
bedroom,washing a towel by hand
bedroom,putting on cosmetics
bedroom,putting on lipstick
bedroom,brushing hair
bedroom,blow-drying hair
bedroom,putting on a jacket
bedroom,taking off a jacket
bedroom,putting on/taking off shoes
bedroom,putting on/taking off glasses
bedroom,looking around for something
bedroom,reading a book
bathroom,brushing teeth
bathroom,washing hands
bathroom,washing face
bathroom,wiping face with a towel
bathroom,taking medicine
any,drinking water
any,opening the door and walking in
any,falling on the floor
any,sitting up/standing up
any,lying down
