coarse-grained,fine-grained
18,eating food with a fork
18,pouring water into a cup
18,taking medicine
18,drinking water
16,putting food in the fridge/taking food from the fridge
17,trimming vegetables
18,peeling fruit
8,using a gas stove
8,cutting vegetables on the cutting board
24,brushing teeth
24,washing hands
24,washing face
24,wiping face with a towel
18,putting on cosmetics
18,putting on lipstick
21,brushing hair
21,blow-drying hair
15,putting on a jacket
15,taking off a jacket
15,putting on/taking off shoes
18,putting on/taking off glasses
8,washing the dishes
19,vacuuming the floor
20,scrubbing the floor with a rag
12,wiping off the dining table
16,rubbing furniture
20,spreading bedding/folding bedding
24,washing a towel by hand
22,hanging out laundry
18,looking around for something
18,using a remote control
18,reading a book
12,reading a newspaper
18,handwriting
18,talking on the phone
18,playing with a mobile phone
21,using a computer
18,smoking
18,clapping
18,rubbing face with hands
22,doing freehand exercises
22,doing neck roll exercises
22,massaging a shoulder oneself
12,taking a bow
18,talking to each other
12,handshaking
15,hugging each other
12,fighting each other
12,waving a hand
16,flapping a hand up and down (beckoning)
18,pointing with a finger
8,opening the door and walking in
14,falling on the floor
20,sitting up/standing up
20,lying down
