coarse-grained,fine-grained
0,eating food with a fork
0,pouring water into a cup
0,taking medicine
0,drinking water
15,putting food in the fridge/taking food from the fridge
6,trimming vegetables
0,peeling fruit
15,using a gas stove
6,cutting vegetables on the cutting board
8,brushing teeth
16,washing hands
16,washing face
16,wiping face with a towel
12,putting on cosmetics
12,putting on lipstick
13,brushing hair
13,blow-drying hair
5,putting on a jacket
5,taking off a jacket
2,putting on/taking off shoes
0,putting on/taking off glasses
15,washing the dishes
11,vacuuming the floor
11,scrubbing the floor with a rag
0,wiping off the dining table
2,rubbing furniture
19,spreading bedding/folding bedding
16,washing a towel by hand
19,hanging out laundry
2,looking around for something
7,using a remote control
9,reading a book
9,reading a newspaper
0,handwriting
7,talking on the phone
7,playing with a mobile phone
12,using a computer
12,smoking
0,clapping
0,rubbing face with hands
10,doing freehand exercises
17,doing neck roll exercises
17,massaging a shoulder oneself
2,taking a bow
18,talking to each other
18,handshaking
18,hugging each other
18,fighting each other
1,waving a hand
1,flapping a hand up and down (beckoning)
1,pointing with a finger
2,opening the door and walking in
3,falling on the floor
19,sitting up/standing up
19,lying down
