coarse-grained,fine-grained
3,eating food with a fork
5,pouring water into a cup
2,taking medicine
5,drinking water
5,putting food in the fridge/taking food from the fridge
3,trimming vegetables
3,peeling fruit
5,using a gas stove
5,cutting vegetables on the cutting board
9,brushing teeth
9,washing hands
9,washing face
9,wiping face with a towel
6,putting on cosmetics
6,putting on lipstick
6,brushing hair
6,blow-drying hair
1,putting on a jacket
1,taking off a jacket
1,putting on/taking off shoes
9,putting on/taking off glasses
5,washing the dishes
1,vacuuming the floor
1,scrubbing the floor with a rag
3,wiping off the dining table
5,rubbing furniture
1,spreading bedding/folding bedding
9,washing a towel by hand
1,hanging out laundry
2,looking around for something
2,using a remote control
1,reading a book
0,reading a newspaper
2,handwriting
1,talking on the phone
2,playing with a mobile phone
2,using a computer
9,smoking
9,clapping
1,rubbing face with hands
1,doing freehand exercises
1,doing neck roll exercises
1,massaging a shoulder oneself
1,taking a bow
2,talking to each other
1,handshaking
1,hugging each other
1,fighting each other
1,waving a hand
5,flapping a hand up and down (beckoning)
1,pointing with a finger
1,opening the door and walking in
1,falling on the floor
1,sitting up/standing up
1,lying down
