coarse-grained,fine-grained
2,eating food with a fork
2,pouring water into a cup
2,taking medicine
2,drinking water
7,putting food in the fridge/taking food from the fridge
2,trimming vegetables
2,peeling fruit
13,using a gas stove
2,cutting vegetables on the cutting board
3,brushing teeth
14,washing hands
3,washing face
3,wiping face with a towel
0,putting on cosmetics
0,putting on lipstick
0,brushing hair
0,blow-drying hair
9,putting on a jacket
9,taking off a jacket
11,putting on/taking off shoes
0,putting on/taking off glasses
13,washing the dishes
8,vacuuming the floor
5,scrubbing the floor with a rag
2,wiping off the dining table
7,rubbing furniture
10,spreading bedding/folding bedding
14,washing a towel by hand
8,hanging out laundry
13,looking around for something
1,using a remote control
2,reading a book
2,reading a newspaper
2,handwriting
2,talking on the phone
2,playing with a mobile phone
2,using a computer
1,smoking
2,clapping
2,rubbing face with hands
10,doing freehand exercises
9,doing neck roll exercises
7,massaging a shoulder oneself
11,taking a bow
2,talking to each other
11,handshaking
11,hugging each other
2,fighting each other
2,waving a hand
13,flapping a hand up and down (beckoning)
4,pointing with a finger
11,opening the door and walking in
0,falling on the floor
10,sitting up/standing up
10,lying down
