coarse-grained,fine-grained
0,eating food with a fork
2,pouring water into a cup
0,taking medicine
2,drinking water
2,putting food in the fridge/taking food from the fridge
13,trimming vegetables
0,peeling fruit
2,using a gas stove
2,cutting vegetables on the cutting board
15,brushing teeth
2,washing hands
15,washing face
15,wiping face with a towel
10,putting on cosmetics
10,putting on lipstick
10,brushing hair
10,blow-drying hair
8,putting on a jacket
8,taking off a jacket
1,putting on/taking off shoes
10,putting on/taking off glasses
2,washing the dishes
7,vacuuming the floor
12,scrubbing the floor with a rag
13,wiping off the dining table
2,rubbing furniture
18,spreading bedding/folding bedding
4,washing a towel by hand
8,hanging out laundry
2,looking around for something
14,using a remote control
13,reading a book
13,reading a newspaper
13,handwriting
17,talking on the phone
6,playing with a mobile phone
13,using a computer
15,smoking
9,clapping
9,rubbing face with hands
6,doing freehand exercises
2,doing neck roll exercises
2,massaging a shoulder oneself
1,taking a bow
9,talking to each other
1,handshaking
1,hugging each other
0,fighting each other
2,waving a hand
2,flapping a hand up and down (beckoning)
2,pointing with a finger
1,opening the door and walking in
5,falling on the floor
17,sitting up/standing up
18,lying down
