coarse-grained,fine-grained
4,eating food with a fork
5,pouring water into a cup
4,taking medicine
5,drinking water
2,putting food in the fridge/taking food from the fridge
7,trimming vegetables
4,peeling fruit
5,using a gas stove
5,cutting vegetables on the cutting board
0,brushing teeth
5,washing hands
0,washing face
0,wiping face with a towel
14,putting on cosmetics
14,putting on lipstick
14,brushing hair
14,blow-drying hair
17,putting on a jacket
17,taking off a jacket
8,putting on/taking off shoes
14,putting on/taking off glasses
5,washing the dishes
11,vacuuming the floor
12,scrubbing the floor with a rag
10,wiping off the dining table
2,rubbing furniture
15,spreading bedding/folding bedding
13,washing a towel by hand
17,hanging out laundry
5,looking around for something
7,using a remote control
6,reading a book
10,reading a newspaper
10,handwriting
6,talking on the phone
9,playing with a mobile phone
10,using a computer
0,smoking
18,clapping
18,rubbing face with hands
9,doing freehand exercises
5,doing neck roll exercises
16,massaging a shoulder oneself
8,taking a bow
10,talking to each other
8,handshaking
8,hugging each other
18,fighting each other
2,waving a hand
2,flapping a hand up and down (beckoning)
7,pointing with a finger
8,opening the door and walking in
3,falling on the floor
6,sitting up/standing up
15,lying down
