coarse-grained,fine-grained
2,eating food with a fork
4,pouring water into a cup
2,taking medicine
2,drinking water
1,putting food in the fridge/taking food from the fridge
7,trimming vegetables
2,peeling fruit
4,using a gas stove
4,cutting vegetables on the cutting board
9,brushing teeth
4,washing hands
9,washing face
9,wiping face with a towel
14,putting on cosmetics
14,putting on lipstick
14,brushing hair
14,blow-drying hair
11,putting on a jacket
11,taking off a jacket
13,putting on/taking off shoes
14,putting on/taking off glasses
4,washing the dishes
16,vacuuming the floor
18,scrubbing the floor with a rag
5,wiping off the dining table
1,rubbing furniture
0,spreading bedding/folding bedding
10,washing a towel by hand
11,hanging out laundry
4,looking around for something
6,using a remote control
7,reading a book
7,reading a newspaper
7,handwriting
8,talking on the phone
11,playing with a mobile phone
7,using a computer
9,smoking
2,clapping
2,rubbing face with hands
11,doing freehand exercises
4,doing neck roll exercises
3,massaging a shoulder oneself
13,taking a bow
7,talking to each other
13,handshaking
13,hugging each other
5,fighting each other
1,waving a hand
1,flapping a hand up and down (beckoning)
13,pointing with a finger
13,opening the door and walking in
17,falling on the floor
8,sitting up/standing up
0,lying down
