coarse-grained,fine-grained
1,eating food with a fork
1,pouring water into a cup
1,taking medicine
1,drinking water
3,putting food in the fridge/taking food from the fridge
1,trimming vegetables
1,peeling fruit
3,using a gas stove
1,cutting vegetables on the cutting board
7,brushing teeth
7,washing hands
7,washing face
7,wiping face with a towel
5,putting on cosmetics
5,putting on lipstick
5,brushing hair
5,blow-drying hair
0,putting on a jacket
0,taking off a jacket
0,putting on/taking off shoes
1,putting on/taking off glasses
3,washing the dishes
0,vacuuming the floor
6,scrubbing the floor with a rag
1,wiping off the dining table
3,rubbing furniture
4,spreading bedding/folding bedding
7,washing a towel by hand
4,hanging out laundry
3,looking around for something
8,using a remote control
1,reading a book
1,reading a newspaper
1,handwriting
1,talking on the phone
1,playing with a mobile phone
1,using a computer
2,smoking
1,clapping
1,rubbing face with hands
0,doing freehand exercises
3,doing neck roll exercises
3,massaging a shoulder oneself
0,taking a bow
1,talking to each other
0,handshaking
0,hugging each other
1,fighting each other
3,waving a hand
3,flapping a hand up and down (beckoning)
0,pointing with a finger
0,opening the door and walking in
6,falling on the floor
4,sitting up/standing up
4,lying down
