coarse-grained,fine-grained
13,eating food with a fork
13,pouring water into a cup
13,taking medicine
13,drinking water
12,putting food in the fridge/taking food from the fridge
13,trimming vegetables
13,peeling fruit
7,using a gas stove
7,cutting vegetables on the cutting board
4,brushing teeth
4,washing hands
4,washing face
4,wiping face with a towel
11,putting on cosmetics
11,putting on lipstick
11,brushing hair
11,blow-drying hair
3,putting on a jacket
3,taking off a jacket
3,putting on/taking off shoes
11,putting on/taking off glasses
7,washing the dishes
3,vacuuming the floor
3,scrubbing the floor with a rag
13,wiping off the dining table
12,rubbing furniture
3,spreading bedding/folding bedding
4,washing a towel by hand
3,hanging out laundry
3,looking around for something
6,using a remote control
3,reading a book
13,reading a newspaper
13,handwriting
3,talking on the phone
3,playing with a mobile phone
11,using a computer
4,smoking
13,clapping
3,rubbing face with hands
3,doing freehand exercises
3,doing neck roll exercises
3,massaging a shoulder oneself
3,taking a bow
13,talking to each other
3,handshaking
3,hugging each other
3,fighting each other
3,waving a hand
12,flapping a hand up and down (beckoning)
3,pointing with a finger
3,opening the door and walking in
3,falling on the floor
3,sitting up/standing up
3,lying down
