coarse-grained,fine-grained
2,eating food with a fork
7,pouring water into a cup
2,taking medicine
2,drinking water
2,putting food in the fridge/taking food from the fridge
2,trimming vegetables
2,peeling fruit
7,using a gas stove
2,cutting vegetables on the cutting board
3,brushing teeth
3,washing hands
3,washing face
3,wiping face with a towel
0,putting on cosmetics
0,putting on lipstick
0,brushing hair
0,blow-drying hair
5,putting on a jacket
5,taking off a jacket
0,putting on/taking off shoes
0,putting on/taking off glasses
7,washing the dishes
5,vacuuming the floor
5,scrubbing the floor with a rag
2,wiping off the dining table
5,rubbing furniture
5,spreading bedding/folding bedding
3,washing a towel by hand
5,hanging out laundry
7,looking around for something
1,using a remote control
2,reading a book
2,reading a newspaper
2,handwriting
1,talking on the phone
1,playing with a mobile phone
1,using a computer
3,smoking
3,clapping
3,rubbing face with hands
9,doing freehand exercises
9,doing neck roll exercises
3,massaging a shoulder oneself
0,taking a bow
0,talking to each other
0,handshaking
0,hugging each other
3,fighting each other
7,waving a hand
7,flapping a hand up and down (beckoning)
4,pointing with a finger
0,opening the door and walking in
0,falling on the floor
5,sitting up/standing up
5,lying down
