coarse-grained,fine-grained
drinking related activity,eating food with a fork
drinking related activity,pouring water into a cup
drinking related activity,taking medicine
drinking related activity,drinking water
food preparation related activity,putting food in the fridge/taking food from the fridge
food preparation related activity,trimming vegetables
food preparation related activity,peeling fruit
food preparation related activity,cutting vegetables on the cutting board
food preparation related activity,using a gas stove
hygiene related activity,brushing teeth
hygiene related activity,washing hands
hygiene related activity,washing face
hygiene related activity,wiping face with a towel
hygiene related activity,putting on cosmetics
cosmetics application related activity,putting on lipstick
hair care related activity,brushing hair
hair care related activity,blow-drying hair
clothing related activity,putting on a jacket
clothing related activity,taking off a jacket
shoe related activity,putting on/taking off shoes
glasses related activity,putting on/taking off glasses
cleaning related activity,washing the dishes
cleaning related activity,vacuuming the floor
cleaning related activity,scrubbing the floor with a rag
cleaning related activity,wiping off the dining table
cleaning related activity,rubbing furniture
bed making related activity,spreading bedding/folding bedding
laundry related activity,washing a towel by hand
laundry related activity,hanging out laundry
searching related activity,looking around for something
reading related activity,using a remote control
reading related activity,reading a book
reading related activity,reading a newspaper
writing related activity,handwriting
communication related activity,talking on the phone
mobile phone related activity,playing with a mobile phone
computer related activity,using a computer
smoking related activity,smoking
self-care related activity,clapping
self-care related activity,rubbing face with hands
self-care related activity,doing freehand exercises
self-care related activity,doing neck roll exercises
self-care related activity,massaging a shoulder oneself
self-care related activity,taking a bow
communication related activity,talking to each other
interpersonal related activity,handshaking
interpersonal related activity,hugging each other
interpersonal related activity,fighting each other
hand gestures related activity,waving a hand
hand gestures related activity,flapping a hand up and down (beckoning)
hand gestures related activity,pointing with a finger
movement related activity,opening the door and walking in
movement related activity,falling on the floor
movement related activity,sitting up/standing up
movement related activity,lying down
