coarse-grained,fine-grained
Hydration,Get_water
Hydration,Drink.From_glass
Hydration,Drink.From_bottle
Hydration,Drink.From_can
Hydration,Drink.From_cup
Hydration,Pour.From_kettle
Hydration,Pour.From_can
Hydration,Pour.From_bottle
Making_Tea,Make_tea
Making_Tea,Make_tea.Boil_water
Making_Tea,Insert_tea_bag
Making_Tea,Stir_coffee/tea
Making_Coffee,Make_coffee
Making_Coffee,Make_coffee.Pour_grains
Making_Coffee,Make_coffee.Pour_water
Making_Breakfast,Breakfast
Making_Breakfast,Breakfast.Spread_jam_or_butter
Making_Breakfast,Breakfast.Take_ham
Making_Breakfast,Breakfast.Cut_bread
Making_Breakfast,Breakfast.Eat_at_table
Cooking,Cook
Cooking,Cook.Use_stove
Cooking,Cook.Use_oven
Cooking,Cook.Cut
Cooking,Cook.Stir
Eating,Eat_snack
Taking_Medicine,Take_pills
Cleaning,Clean_dishes
Cleaning,Clean_dishes.Clean_with_water
Cleaning,Clean_dishes.Put_something_in_sink
Cleaning,Clean_dishes.Dry_up
Cleaning,Wipe_table
Cleaning,Dump_in_trash
Using_Furniture,Put_something_on_table
Using_Furniture,Take_something_off_table
Using_Furniture,Sit_down
Using_Furniture,Get_up
Using_Furniture,Lay_down
Using_Furniture,Enter
Using_Furniture,Leave
Using_Appliances,Use_telephone
Using_Appliances,Use_laptop
Using_Appliances,Use_tablet
Using_Appliances,Use_glasses
Using_Appliances,Use_fridge
Using_Appliances,Use_cupboard
Using_Appliances,Use_Drawer
Recreation,Watch_TV
Recreation,Read
Recreation,Write
Walking,Walk
