coarse-grained,fine-grained
15,Get_water
15,Make_tea.Boil_water
10,Get_up
0,Clean_dishes.Clean_with_water
8,Breakfast.Spread_jam_or_butter
12,Use_tablet
6,Watch_TV
18,Read
8,Breakfast.Take_ham
5,Pour.From_can
14,Leave
7,Put_something_on_table
14,Enter
15,Make_coffee
8,Breakfast.Cut_bread
3,Cook.Use_stove
5,Drink.From_glass
2,Dump_in_trash
3,Cook.Cut
5,Drink.From_bottle
5,Drink.From_can
0,Clean_dishes
0,Clean_dishes.Put_something_in_sink
12,Use_telephone
13,Write
9,Use_fridge
15,Insert_tea_bag
3,Cook.Use_oven
15,Make_tea
0,Clean_dishes.Dry_up
15,Make_coffee.Pour_grains
12,Use_glasses
12,Use_laptop
10,Lay_down
5,Pour.From_bottle
8,Breakfast.Eat_at_table
7,Take_something_off_table
10,Sit_down
3,Cook.Stir
19,Use_cupboard
5,Drink.From_cup
11,Use_Drawer
8,Eat_snack
15,Stir_coffee/tea
0,Wipe_table
3,Cook
17,Walk
8,Breakfast
15,Make_coffee.Pour_water
15,Pour.From_kettle
12,Take_pills
