coarse-grained,fine-grained
8,Get_water
3,Make_tea.Boil_water
5,Get_up
8,Clean_dishes.Clean_with_water
9,Breakfast.Spread_jam_or_butter
5,Use_tablet
5,Watch_TV
4,Read
2,Breakfast.Take_ham
4,Pour.From_can
7,Leave
5,Put_something_on_table
7,Enter
3,Make_coffee
9,Breakfast.Cut_bread
7,Cook.Use_stove
8,Drink.From_glass
3,Dump_in_trash
3,Cook.Cut
5,Drink.From_bottle
5,Drink.From_can
8,Clean_dishes
8,Clean_dishes.Put_something_in_sink
5,Use_telephone
4,Write
3,Use_fridge
3,Insert_tea_bag
3,Cook.Use_oven
3,Make_tea
3,Clean_dishes.Dry_up
3,Make_coffee.Pour_grains
5,Use_glasses
5,Use_laptop
5,Lay_down
5,Pour.From_bottle
9,Breakfast.Eat_at_table
5,Take_something_off_table
5,Sit_down
3,Cook.Stir
3,Use_cupboard
5,Drink.From_cup
3,Use_Drawer
3,Eat_snack
3,Stir_coffee/tea
8,Wipe_table
3,Cook
3,Walk
9,Breakfast
3,Make_coffee.Pour_water
3,Pour.From_kettle
6,Take_pills
