coarse-grained,fine-grained
4,Get_water
4,Make_tea.Boil_water
3,Get_up
4,Clean_dishes.Clean_with_water
14,Breakfast.Spread_jam_or_butter
3,Use_tablet
3,Watch_TV
14,Read
14,Breakfast.Take_ham
3,Pour.From_can
8,Leave
3,Put_something_on_table
8,Enter
0,Make_coffee
14,Breakfast.Cut_bread
11,Cook.Use_stove
3,Drink.From_glass
0,Dump_in_trash
11,Cook.Cut
3,Drink.From_bottle
3,Drink.From_can
4,Clean_dishes
4,Clean_dishes.Put_something_in_sink
1,Use_telephone
14,Write
9,Use_fridge
7,Insert_tea_bag
9,Cook.Use_oven
7,Make_tea
4,Clean_dishes.Dry_up
0,Make_coffee.Pour_grains
10,Use_glasses
3,Use_laptop
3,Lay_down
3,Pour.From_bottle
14,Breakfast.Eat_at_table
14,Take_something_off_table
1,Sit_down
7,Cook.Stir
9,Use_cupboard
3,Drink.From_cup
0,Use_Drawer
3,Eat_snack
5,Stir_coffee/tea
4,Wipe_table
7,Cook
1,Walk
14,Breakfast
7,Make_coffee.Pour_water
7,Pour.From_kettle
1,Take_pills
