coarse-grained,fine-grained
3,Get_water
4,Make_tea.Boil_water
5,Get_up
3,Clean_dishes.Clean_with_water
9,Breakfast.Spread_jam_or_butter
5,Use_tablet
5,Watch_TV
5,Read
9,Breakfast.Take_ham
5,Pour.From_can
5,Leave
5,Put_something_on_table
5,Enter
4,Make_coffee
9,Breakfast.Cut_bread
19,Cook.Use_stove
5,Drink.From_glass
4,Dump_in_trash
4,Cook.Cut
5,Drink.From_bottle
5,Drink.From_can
3,Clean_dishes
3,Clean_dishes.Put_something_in_sink
5,Use_telephone
8,Write
4,Use_fridge
4,Insert_tea_bag
4,Cook.Use_oven
3,Make_tea
4,Clean_dishes.Dry_up
4,Make_coffee.Pour_grains
1,Use_glasses
5,Use_laptop
5,Lay_down
5,Pour.From_bottle
9,Breakfast.Eat_at_table
5,Take_something_off_table
5,Sit_down
4,Cook.Stir
3,Use_cupboard
5,Drink.From_cup
4,Use_Drawer
5,Eat_snack
11,Stir_coffee/tea
7,Wipe_table
4,Cook
5,Walk
9,Breakfast
4,Make_coffee.Pour_water
4,Pour.From_kettle
5,Take_pills
