coarse-grained,fine-grained
Daily,Get_up
Daily,Leave
Daily,Enter
Daily,Lay_down
Daily,Take_something_off_table
Daily,Put_something_on_table
Cleaning,Clean_dishes
Cleaning,Wipe_table
Cleaning,Dump_in_trash
Food,Breakfast
Food,Make_tea
Food,Make_coffee
Food,Cook
Food,Get_water
Communication,Use_telephone
Communication,Write
Hygiene,Use_glasses
Hygiene,Use_cupboard
Table,Use_tablet
Table,Sit_down
Table,Breakfast.Eat_at_table
Kitchen,Use_fridge
Kitchen,Cook.Use_stove
Kitchen,Cook.Use_oven
Reading,Read
Electronics,Use_laptop
Miscellaneous,Watch_TV
Miscellaneous,Walk
Miscellaneous,Use_Drawer
Miscellaneous,Eat_snack
Miscellaneous,Take_pills
Miscellaneous,Insert_tea_bag
Miscellaneous,Make_coffee.Pour_grains
Miscellaneous,Make_coffee.Pour_water
Miscellaneous,Make_tea.Boil_water
Miscellaneous,Pour.From_bottle
Miscellaneous,Pour.From_can
Miscellaneous,Pour.From_kettle
Miscellaneous,Breakfast.Spread_jam_or_butter
Miscellaneous,Breakfast.Cut_bread
Miscellaneous,Stir_coffee/tea
Miscellaneous,Drink.From_bottle
Miscellaneous,Drink.From_can
Miscellaneous,Drink.From_cup
Miscellaneous,Drink.From_glass
Miscellaneous,Breakfast.Take_ham
Miscellaneous,Clean_dishes.Put_something_in_sink
Miscellaneous,Clean_dishes.Dry_up
Miscellaneous,Clean_dishes.Clean_with_water
Miscellaneous,Cook.Cut
Miscellaneous,Cook.Stir
